,PD,label
442,snm squar,72
443,snm squar,72
444,snm squar,72
445,sq lch plt tree,277
446,sq plte tree,277
447,lch nap dots,72
448,lch nap hoho,72
449,placemat book,72
450,shaped stcker,72
451,shaped stcker az,72
452,shaped stcker az,72
453,lic,72
454,lic,72
455,cotton lap pad glncode bc bc,72
456,christmas puzzle,72
457,gas glass tube heater,289
458,gas glass tube heater,289
459,rect candle,72
460,foil botan,72
461,pencil,72
462,take box astm take box astm,72
463,plush pant plush pant,248
464,booster cable ao booster cable ao,72
465,bhg microplush sherpa throwpo waybillbhg microplush sherpa throwpo,72
466,plush blanket billms plush blanket,248
467,paper shredder paper shredder,72
468,plush toys plush toys,198
469,hoodie plsh combineinto cmas dog astm,72
470,hooded flannel denim hooded flannel denim hooded flannel denim,72
471,suffolkvirtual india wazir chand pvt ltd prem nagar industrial area km kanth road,72
472,cotton blankets cottonblanket twin brown stone india devtaraindustries meerut road murad nagar saint hly village hinsali ind area,72
473,cootn blankets cotton blanket fresh ivory suffolkvirtual india devtara industries meerut road murad nagar saint hly village hinsali ind area,72
